,0
0,
1,14.0
2,6.0
3,16.0
4,33.0
5,13.0
6,5.0
7,9.0
8,20.0
9,30.0
10,
11,14.0
12,9.0
13,7.0
14,6.0
15,13.0
16,0.0
17,9.0
18,0.0
19,5.0
20,3.0
21,7.0
22,9.0
23,4.0
24,10.0
25,7.0
26,25.0
27,9.0
28,37.0
29,
30,
31,107.0
32,4.0
33,0.0
34,21.0
35,14.0
36,
37,13.0
38,21.0
39,21.0
40,8.0
41,4.0
42,
43,62.0
44,
45,29.0
46,0.0
47,19.0
48,11.0
49,29.0
50,17.0
51,13.0
52,14.0
53,9.0
54,6.0
55,0.0
56,14.0
57,15.0
58,15.0
59,
60,
61,0.0
62,
63,
64,3.0
65,1.0
66,3.0
67,4.0
68,9.0
69,6.0
70,36.0
71,12.0
72,18.0
73,7.0
74,13.0
75,7.0
76,11.0
77,17.0
78,18.0
79,13.0
80,11.0
81,13.0
82,
83,
84,91.0
85,29.0
86,
87,0.0
88,8.0
89,
90,
91,
92,24.0
93,11.0
94,11.0
95,8.0
96,14.0
97,15.0
98,21.0
99,26.0
100,13.0
101,26.0
102,14.0
103,
104,
105,3.0
106,10.0
107,6.0
108,0.0
109,2.0
110,6.0
111,9.0
112,32.0
113,12.0
114,50.0
115,
116,
117,79.0
118,71.0
119,
120,28.0
121,41.0
122,
123,
124,17.0
125,33.0
126,76.0
127,0.0
128,10.0
129,5.0
130,14.0
131,
132,2.0
133,2.0
134,4.0
135,6.0
136,1.0
137,5.0
138,6.0
139,1.0
140,3.0
141,15.0
142,2.0
143,5.0
144,26.0
145,7.0
146,6.0
147,6.0
148,15.0
149,0.0
150,7.0
151,6.0
152,6.0
153,6.0
154,11.0
155,10.0
156,15.0
157,11.0
158,7.0
159,
160,51.0
161,
162,6.0
163,7.0
164,7.0
165,
166,28.0
167,13.0
168,6.0
169,35.0
170,32.0
171,17.0
172,10.0
173,62.0
174,
175,108.0
176,
177,14.0
178,5.0
179,11.0
180,15.0
181,13.0
182,21.0
183,6.0
184,19.0
185,7.0
186,15.0
187,8.0
188,24.0
189,6.0
190,13.0
191,8.0
192,0.0
193,7.0
194,8.0
195,
196,7.0
197,9.0
198,11.0
199,8.0
200,14.0
201,5.0
202,4.0
203,6.0
204,6.0
205,6.0
206,7.0
207,6.0
208,19.0
209,6.0
210,23.0
211,7.0
212,6.0
213,8.0
214,9.0
215,7.0
216,8.0
217,5.0
218,9.0
219,
220,16.0
221,8.0
222,34.0
223,26.0
224,
225,54.0
226,
227,0.0
228,68.0
229,28.0
230,0.0
231,59.0
232,
233,
234,6.0
235,6.0
236,7.0
237,7.0
238,6.0
239,7.0
240,5.0
241,9.0
242,6.0
243,7.0
244,7.0
245,6.0
246,7.0
247,7.0
248,6.0
249,6.0
250,6.0
251,7.0
252,7.0
253,6.0
254,6.0
255,6.0
256,8.0
257,5.0
258,6.0
259,7.0
260,6.0
261,6.0
262,7.0
263,6.0
264,
265,
266,30.0
267,
268,206.0
269,
270,
271,0.0
272,108.0
273,11.0
274,7.0
275,5.0
276,4.0
277,10.0
278,5.0
279,6.0
280,4.0
281,7.0
282,6.0
283,6.0
284,13.0
285,5.0
286,4.0
287,0.0
288,
289,6.0
290,9.0
291,1.0
292,3.0
293,7.0
294,6.0
295,7.0
296,6.0
297,10.0
298,9.0
299,4.0
300,11.0
301,7.0
302,0.0
303,4.0
304,7.0
305,8.0
306,0.0
307,0.0
308,12.0
309,0.0
310,7.0
311,5.0
312,0.0
313,17.0
314,13.0
315,10.0
316,
317,6.0
318,6.0
319,
320,
321,
322,
323,65.0
324,0.0
325,
326,9.0
327,
328,21.0
329,17.0
330,41.0
331,18.0
332,
333,2.0
334,12.0
335,16.0
336,10.0
337,17.0
338,12.0
339,7.0
340,5.0
341,5.0
342,9.0
343,18.0
344,31.0
345,50.0
346,
347,3.0
348,4.0
349,2.0
350,3.0
351,1.0
352,5.0
353,7.0
354,5.0
355,13.0
356,4.0
357,3.0
358,13.0
359,2.0
360,
361,1.0
362,0.0
363,
364,14.0
365,9.0
366,11.0
367,14.0
368,16.0
369,17.0
370,16.0
371,14.0
372,
373,6.0
374,0.0
375,8.0
376,12.0
377,69.0
378,20.0
379,
380,47.0
381,
382,7.0
383,13.0
384,7.0
385,4.0
386,7.0
387,8.0
388,8.0
389,11.0
390,8.0
391,6.0
392,6.0
393,8.0
394,4.0
395,10.0
396,7.0
397,
398,7.0
399,
400,55.0
401,59.0
402,
403,
404,6.0
405,6.0
406,8.0
407,7.0
408,5.0
409,6.0
410,7.0
411,9.0
412,10.0
413,8.0
414,6.0
415,13.0
416,9.0
417,25.0
418,14.0
419,
420,9.0
421,5.0
422,7.0
423,7.0
424,7.0
425,6.0
426,8.0
427,55.0
428,13.0
429,21.0
430,21.0
431,25.0
432,
433,48.0
434,11.0
435,22.0
436,
437,8.0
438,7.0
439,10.0
440,
441,49.0
442,11.0
443,11.0
444,11.0
445,35.0
446,16.0
447,0.0
448,41.0
449,22.0
450,1.0
451,
452,20.0
453,10.0
454,8.0
455,44.0
456,14.0
457,50.0
458,
459,25.0
460,
461,6.0
462,8.0
463,7.0
464,9.0
465,17.0
466,7.0
467,8.0
468,8.0
469,10.0
470,9.0
471,10.0
472,10.0
473,11.0
474,10.0
475,10.0
476,10.0
477,12.0
478,7.0
479,
480,
481,
482,
483,0.0
484,8.0
485,4.0
486,9.0
487,8.0
488,8.0
489,7.0
490,4.0
491,13.0
492,8.0
493,13.0
494,4.0
495,1.0
496,15.0
497,8.0
498,9.0
499,5.0
500,
501,13.0
502,5.0
503,12.0
504,4.0
505,13.0
506,0.0
507,10.0
508,10.0
509,8.0
510,10.0
511,11.0
512,14.0
513,11.0
514,10.0
515,8.0
516,12.0
517,
518,
519,12.0
520,7.0
521,6.0
522,8.0
523,7.0
524,5.0
525,8.0
526,
527,17.0
528,12.0
529,9.0
530,17.0
531,17.0
532,10.0
533,7.0
534,0.0
535,0.0
536,13.0
537,1.0
538,0.0
539,13.0
540,33.0
541,1.0
542,43.0
543,
544,
545,26.0
546,30.0
547,4.0
548,6.0
549,20.0
550,11.0
551,25.0
552,6.0
553,13.0
554,14.0
555,8.0
556,12.0
557,11.0
558,10.0
559,
560,26.0
561,71.0
562,
563,9.0
564,6.0
565,1.0
566,11.0
567,8.0
568,4.0
569,11.0
570,6.0
571,8.0
572,10.0
573,8.0
574,8.0
575,7.0
576,7.0
577,7.0
578,9.0
579,7.0
580,0.0
581,9.0
582,12.0
583,7.0
584,6.0
585,9.0
586,3.0
587,7.0
588,9.0
589,6.0
590,
591,1.0
592,26.0
593,0.0
594,142.0
595,
596,4.0
597,3.0
598,6.0
599,20.0
600,
601,7.0
602,
603,8.0
604,8.0
605,4.0
606,5.0
607,5.0
608,0.0
609,5.0
610,0.0
611,12.0
612,6.0
613,0.0
614,9.0
615,8.0
616,0.0
617,8.0
618,8.0
619,11.0
620,6.0
621,1.0
622,7.0
623,8.0
624,1.0
625,11.0
626,8.0
627,5.0
628,5.0
629,13.0
630,0.0
631,11.0
632,0.0
633,10.0
