,0
0,
1,9.0
2,24.0
3,26.0
4,
5,0.0
6,59.0
7,11.0
8,
9,13.0
10,
11,
12,24.0
13,
14,
15,
16,31.0
17,29.0
18,17.0
19,
20,
21,76.0
22,
23,
24,34.0
25,56.0
26,
27,61.0
28,0.0
29,
30,9.0
31,21.0
32,29.0
33,
34,30.0
35,23.0
36,22.0
37,
38,43.0
39,17.0
40,
41,17.0
42,24.0
43,30.0
44,
45,34.0
46,0.0
47,45.0
48,
49,
50,31.0
51,2.0
52,0.0
53,27.0
54,14.0
55,13.0
56,
57,3.0
58,2.0
59,11.0
60,13.0
61,59.0
62,
63,15.0
64,20.0
65,3.0
66,14.0
67,19.0
68,16.0
69,0.0
70,
71,21.0
72,9.0
73,21.0
74,8.0
75,
76,55.0
77,
78,0.0
79,31.0
80,29.0
81,
82,
83,25.0
84,0.0
85,2.0
86,48.0
87,
88,
89,17.0
90,37.0
91,7.0
92,9.0
93,13.0
94,
95,22.0
96,13.0
97,16.0
98,
99,
100,
101,56.0
102,
103,
104,5.0
105,25.0
106,30.0
107,
108,
109,0.0
110,
111,31.0
112,33.0
113,
114,37.0
115,28.0
116,12.0
117,
118,
119,36.0
120,13.0
121,
122,62.0
123,
124,
125,
126,
127,43.0
128,40.0
129,
130,0.0
131,31.0
132,0.0
133,29.0
134,
135,57.0
136,
137,0.0
138,77.0
139,
140,29.0
141,56.0
142,
143,
144,46.0
145,14.0
146,22.0
147,
148,
149,
150,91.0
151,
152,32.0
153,32.0
154,
155,
156,
157,
158,0.0
159,60.0
160,2.0
161,
162,30.0
163,30.0
164,
165,0.0
166,
167,11.0
168,10.0
169,10.0
170,
171,
172,21.0
173,50.0
174,
175,
176,69.0
177,
178,
179,49.0
180,26.0
181,14.0
182,
183,
184,
185,
186,
187,0.0
188,
189,10.0
190,24.0
191,
192,64.0
193,
194,65.0
195,
196,21.0
197,
198,37.0
199,
200,
201,0.0
202,50.0
203,0.0
204,26.0
205,
206,19.0
207,11.0
208,29.0
209,
210,31.0
211,
212,30.0
213,30.0
214,
215,
216,85.0
217,
218,14.0
219,36.0
220,28.0
221,
222,19.0
223,0.0
224,16.0
225,25.0
226,15.0
227,
228,
229,
230,
231,
232,34.0
233,43.0
234,0.0
235,
236,
237,
238,24.0
239,0.0
240,
241,19.0
242,14.0
243,0.0
244,53.0
245,
246,13.0
247,72.0
248,
249,22.0
250,
251,
252,17.0
253,32.0
254,0.0
255,
256,18.0
257,
258,0.0
259,24.0
260,12.0
261,
262,
263,13.0
264,19.0
265,22.0
266,14.0
267,16.0
268,
269,48.0
270,25.0
271,1.0
272,
273,26.0
274,0.0
275,53.0
276,
277,33.0
278,
279,7.0
280,19.0
281,8.0
282,13.0
283,0.0
284,19.0
285,0.0
286,21.0
287,0.0
288,
289,8.0
290,36.0
291,0.0
292,0.0
293,25.0
294,0.0
295,
296,
297,34.0
298,0.0
299,35.0
300,
301,25.0
302,58.0
303,
304,0.0
305,0.0
306,44.0
307,17.0
308,
309,
310,0.0
311,
312,30.0
313,
314,0.0
315,40.0
316,45.0
317,
318,
319,
320,18.0
321,32.0
322,23.0
323,10.0
324,
325,55.0
326,
327,
328,63.0
329,4.0
330,
331,30.0
332,
333,22.0
334,1.0
335,50.0
336,
337,
338,
339,
340,32.0
341,
342,54.0
343,
344,20.0
345,7.0
346,
347,
348,
349,23.0
350,
351,
352,23.0
353,18.0
354,22.0
355,15.0
356,
357,32.0
358,0.0
359,21.0
360,
361,50.0
362,
363,12.0
364,
365,
366,0.0
367,17.0
368,50.0
369,0.0
370,
371,0.0
372,
373,30.0
374,30.0
375,29.0
376,
377,30.0
378,30.0
379,
380,
381,
382,
383,26.0
384,52.0
385,
386,21.0
387,5.0
388,
389,
390,0.0
391,0.0
392,
393,
394,
395,
396,
397,
398,20.0
399,12.0
400,32.0
401,
402,
403,59.0
404,0.0
405,
406,0.0
407,
408,31.0
409,29.0
410,15.0
411,0.0
412,
413,44.0
414,33.0
415,
416,
417,
418,51.0
419,
420,50.0
421,
422,51.0
423,
424,
425,
426,42.0
427,19.0
428,27.0
429,
430,0.0
431,17.0
432,37.0
433,
434,
435,30.0
436,30.0
437,
438,21.0
439,29.0
440,25.0
441,
442,12.0
443,0.0
444,7.0
445,
446,16.0
447,
448,19.0
449,0.0
450,
451,61.0
452,
453,8.0
454,
455,0.0
456,
457,30.0
458,
459,55.0
460,
461,9.0
462,26.0
463,21.0
464,22.0
465,
466,54.0
467,35.0
468,
469,52.0
470,
471,16.0
472,43.0
473,27.0
474,
475,
476,
477,
478,8.0
479,22.0
480,1.0
481,17.0
482,20.0
483,0.0
484,18.0
485,
486,31.0
487,
488,64.0
489,11.0
490,5.0
491,0.0
492,
493,
494,
495,12.0
496,57.0
497,14.0
498,
499,7.0
500,18.0
501,21.0
502,21.0
503,
504,31.0
505,
506,17.0
507,
508,30.0
509,
510,30.0
511,
512,32.0
513,43.0
514,
515,0.0
516,0.0
517,31.0
518,0.0
519,
520,17.0
521,50.0
522,
523,30.0
524,
525,0.0
526,30.0
527,29.0
528,0.0
529,
530,43.0
531,42.0
532,0.0
533,
534,3.0
535,88.0
536,
537,15.0
538,15.0
539,30.0
540,
541,48.0
542,0.0
543,38.0
544,
545,
546,0.0
547,16.0
548,
549,
550,13.0
551,11.0
552,4.0
553,48.0
554,0.0
555,
556,17.0
557,17.0
558,17.0
559,18.0
560,
561,48.0
562,
563,25.0
564,5.0
565,18.0
566,17.0
567,
568,
569,22.0
570,31.0
571,37.0
572,
573,66.0
574,
575,16.0
576,14.0
577,15.0
578,21.0
579,4.0
580,11.0
581,0.0
582,0.0
583,0.0
584,
585,2.0
586,
587,
588,38.0
589,
590,34.0
591,33.0
592,22.0
593,
594,2.0
595,26.0
596,22.0
597,35.0
598,0.0
599,
600,30.0
601,30.0
602,
603,34.0
604,27.0
605,
606,
607,21.0
608,
609,
610,31.0
611,26.0
612,0.0
613,24.0
614,
615,34.0
616,49.0
617,
618,45.0
619,46.0
620,
621,
622,27.0
623,22.0
624,22.0
625,
626,36.0
627,30.0
628,0.0
629,0.0
630,
631,
632,20.0
633,
634,15.0
635,46.0
636,
637,49.0
638,29.0
639,
640,16.0
641,14.0
642,19.0
643,
644,
645,
646,22.0
647,60.0
648,
649,0.0
650,36.0
651,18.0
652,13.0
653,
654,
655,20.0
656,0.0
657,6.0
658,8.0
659,1.0
660,23.0
661,2.0
662,
663,
664,
665,52.0
666,26.0
667,4.0
668,
669,44.0
670,
671,
672,48.0
673,
674,23.0
675,45.0
676,
677,36.0
678,49.0
679,
680,
681,55.0
682,26.0
683,
684,78.0
685,
686,
687,39.0
688,
689,0.0
690,0.0
691,41.0
692,36.0
693,3.0
694,0.0
695,
696,43.0
697,25.0
698,
699,20.0
700,58.0
701,
702,
703,56.0
704,
705,
706,2.0
707,14.0
708,51.0
709,22.0
710,
711,18.0
712,0.0
713,65.0
714,
715,26.0
716,
717,
718,20.0
719,0.0
720,0.0
721,13.0
722,20.0
723,14.0
724,8.0
725,
726,
727,28.0
728,22.0
729,31.0
730,
731,40.0
732,
733,47.0
734,22.0
735,
736,
737,8.0
738,21.0
739,30.0
740,7.0
741,17.0
742,
743,36.0
744,11.0
745,16.0
746,20.0
747,
748,0.0
749,
750,
751,
752,0.0
753,24.0
754,0.0
755,0.0
756,
757,14.0
758,45.0
759,9.0
760,0.0
761,
762,42.0
763,
764,
765,12.0
766,
767,0.0
768,40.0
769,0.0
770,20.0
771,
772,
773,36.0
774,
775,22.0
776,11.0
777,16.0
778,14.0
779,18.0
780,
781,18.0
782,30.0
783,12.0
784,10.0
785,
786,37.0
787,
788,0.0
789,
790,20.0
791,29.0
792,21.0
793,
794,0.0
795,11.0
796,39.0
797,13.0
798,
799,28.0
800,26.0
801,11.0
802,
803,10.0
804,17.0
805,9.0
806,0.0
807,0.0
808,9.0
809,12.0
810,24.0
811,
812,28.0
813,32.0
814,
815,
816,49.0
817,
818,37.0
819,
820,26.0
821,
822,29.0
823,17.0
824,18.0
825,
826,84.0
827,
828,4.0
829,38.0
830,1.0
831,24.0
832,
833,16.0
834,0.0
835,38.0
836,26.0
837,
838,
839,36.0
840,49.0
841,
842,48.0
843,0.0
844,
845,
846,
847,13.0
848,34.0
849,
850,38.0
851,17.0
852,
853,
854,
855,22.0
856,26.0
857,26.0
858,
859,50.0
860,29.0
861,
862,31.0
863,29.0
864,0.0
865,
866,
867,0.0
868,0.0
869,36.0
870,
871,
872,35.0
873,22.0
874,
875,31.0
876,35.0
877,0.0
878,13.0
879,
880,
881,0.0
882,17.0
883,0.0
884,0.0
885,33.0
886,0.0
887,
888,31.0
889,25.0
890,
891,73.0
892,
893,
894,
895,
896,29.0
897,31.0
898,
899,14.0
900,17.0
901,22.0
902,32.0
903,
904,
905,
906,30.0
907,3.0
908,14.0
909,16.0
910,4.0
911,
912,31.0
913,54.0
914,
915,
916,35.0
917,0.0
918,34.0
919,18.0
920,
921,18.0
922,42.0
923,
924,
925,
926,17.0
927,1.0
928,
929,20.0
930,37.0
931,17.0
932,12.0
933,
934,0.0
935,
936,27.0
937,30.0
938,
939,
940,
941,
942,17.0
943,24.0
944,
945,6.0
946,18.0
947,0.0
948,
949,28.0
950,8.0
951,0.0
952,30.0
953,2.0
954,7.0
955,
956,23.0
957,
958,
959,59.0
960,23.0
961,
962,
963,0.0
964,
965,54.0
966,0.0
967,
968,15.0
969,8.0
970,27.0
971,
972,30.0
973,50.0
974,
975,87.0
976,
977,
978,
979,54.0
980,
981,57.0
982,0.0
983,
984,0.0
985,
986,33.0
987,27.0
988,
989,
990,36.0
991,
992,
993,13.0
994,21.0
995,35.0
996,
997,39.0
998,
999,18.0
1000,32.0
1001,30.0
1002,7.0
1003,
1004,13.0
1005,9.0
1006,19.0
1007,5.0
1008,37.0
1009,
1010,0.0
1011,28.0
1012,
1013,17.0
1014,0.0
1015,37.0
1016,20.0
1017,
1018,40.0
1019,0.0
1020,
1021,
1022,31.0
1023,
1024,62.0
1025,0.0
1026,
1027,27.0
1028,32.0
1029,
1030,4.0
1031,44.0
1032,7.0
1033,
1034,14.0
1035,14.0
1036,
1037,86.0
1038,
1039,
1040,13.0
1041,0.0
1042,13.0
1043,14.0
1044,11.0
1045,13.0
1046,12.0
1047,
1048,
1049,7.0
1050,15.0
1051,6.0
1052,10.0
1053,12.0
1054,20.0
1055,
1056,
1057,20.0
1058,0.0
1059,40.0
1060,
1061,3.0
1062,
1063,0.0
1064,16.0
1065,0.0
1066,0.0
1067,39.0
1068,12.0
1069,0.0
1070,0.0
1071,14.0
1072,
1073,
1074,85.0
1075,
1076,0.0
1077,21.0
1078,
1079,59.0
1080,14.0
1081,5.0
1082,
1083,7.0
1084,29.0
1085,6.0
1086,11.0
1087,15.0
1088,
1089,17.0
1090,56.0
1091,17.0
1092,
1093,20.0
1094,28.0
1095,21.0
1096,
1097,
1098,11.0
1099,13.0
1100,0.0
1101,0.0
1102,
1103,17.0
1104,17.0
1105,22.0
1106,19.0
1107,
1108,56.0
1109,
1110,22.0
1111,
1112,29.0
1113,20.0
1114,
1115,48.0
1116,
1117,
1118,
1119,28.0
1120,0.0
1121,
1122,
1123,0.0
1124,
1125,26.0
1126,39.0
1127,
1128,
1129,45.0
1130,
1131,0.0
1132,
1133,
1134,38.0
1135,
1136,17.0
1137,20.0
1138,
1139,17.0
1140,20.0
1141,12.0
1142,40.0
1143,
1144,44.0
1145,
1146,0.0
1147,21.0
1148,0.0
1149,5.0
1150,10.0
1151,22.0
1152,
1153,
1154,
1155,14.0
1156,10.0
1157,33.0
1158,9.0
1159,
1160,70.0
1161,18.0
1162,
1163,26.0
1164,
1165,6.0
1166,18.0
1167,16.0
1168,30.0
1169,
1170,34.0
1171,
1172,0.0
1173,80.0
1174,0.0
1175,1.0
1176,
1177,13.0
1178,30.0
1179,15.0
1180,
1181,
1182,30.0
1183,
1184,31.0
1185,31.0
1186,
1187,
1188,0.0
1189,31.0
1190,30.0
1191,
1192,
1193,58.0
1194,2.0
1195,
1196,0.0
1197,
1198,44.0
1199,
1200,13.0
1201,
1202,41.0
1203,15.0
1204,13.0
1205,9.0
1206,
1207,20.0
1208,23.0
1209,
1210,60.0
1211,
1212,
1213,10.0
1214,1.0
1215,8.0
1216,27.0
1217,13.0
1218,25.0
1219,
1220,79.0
1221,
1222,29.0
1223,0.0
1224,25.0
1225,29.0
1226,0.0
1227,0.0
1228,
1229,17.0
1230,28.0
1231,7.0
1232,4.0
1233,
1234,20.0
1235,39.0
1236,14.0
1237,15.0
1238,0.0
1239,
1240,33.0
