,time
2,23.0
4,59.0
6,31.0
7,23.0
8,60.0
9,8.0
11,53.0
14,148.0
15,32.0
17,29.0
19,56.0
20,33.0
24,89.0
27,55.0
28,67.0
29,33.0
31,41.0
32,41.0
33,18.0
34,28.0
36,31.0
38,31.0
39,27.0
40,34.0
41,89.0
46,66.0
48,57.0
49,27.0
50,20.0
51,22.0
54,25.0
55,14.0
56,111.0
58,135.0
59,20.0
60,30.0
61,4.0
63,15.0
64,37.0
65,10.0
66,38.0
67,21.0
68,16.0
69,14.0
70,23.0
71,14.0
74,53.0
77,20.0
78,28.0
79,20.0
80,38.0
81,19.0
82,15.0
83,27.0
84,21.0
87,30.0
88,28.0
89,30.0
91,156.0
93,98.0
96,15.0
97,33.0
99,15.0
100,8.0
101,27.0
102,30.0
103,9.0
104,2.0
106,191.0
108,145.0
110,59.0
111,3.0
112,17.0
115,60.0
117,79.0
118,28.0
119,37.0
120,19.0
121,38.0
124,128.0
127,31.0
128,16.0
129,14.0
130,18.0
131,11.0
132,22.0
133,22.0
134,18.0
135,39.0
137,59.0
139,30.0
141,61.0
142,29.0
147,36.0
148,57.0
150,14.0
151,36.0
152,20.0
154,46.0
155,27.0
157,51.0
158,10.0
160,6.0
161,21.0
163,17.0
165,131.0
168,22.0
169,19.0
172,4.0
173,26.0
174,30.0
176,67.0
177,16.0
178,9.0
179,32.0
180,30.0
182,29.0
183,9.0
187,43.0
188,26.0
190,34.0
191,38.0
192,13.0
193,25.0
194,19.0
196,22.0
197,9.0
198,10.0
199,18.0
200,25.0
201,16.0
202,24.0
203,25.0
204,39.0
209,34.0
210,17.0
212,102.0
213,47.0
215,29.0
216,7.0
217,103.0
218,15.0
220,31.0
222,27.0
223,37.0
224,20.0
225,47.0
226,34.0
228,70.0
229,33.0
232,146.0
234,30.0
235,28.0
237,150.0
238,30.0
241,31.0
243,30.0
244,9.0
245,17.0
246,35.0
247,10.0
248,20.0
249,21.0
250,18.0
251,12.0
252,15.0
253,19.0
258,31.0
259,16.0
260,29.0
261,6.0
262,4.0
263,16.0
264,14.0
265,24.0
267,58.0
269,8.0
270,49.0
271,3.0
272,2.0
273,122.0
278,12.0
279,82.0
280,34.0
281,29.0
282,27.0
283,12.0
285,3.0
287,114.0
288,25.0
290,97.0
293,47.0
294,9.0
295,38.0
296,22.0
297,31.0
298,36.0
302,90.0
304,24.0
307,50.0
309,34.0
311,35.0
313,36.0
314,39.0
315,5.0
318,13.0
320,17.0
321,28.0
322,29.0
323,12.0
324,17.0
325,31.0
326,29.0
327,15.0
331,113.0
332,78.0
337,59.0
338,20.0
339,40.0
341,11.0
343,61.0
344,31.0
345,22.0
346,18.0
347,23.0
350,31.0
351,27.0
352,30.0
353,29.0
355,57.0
356,30.0
357,25.0
360,38.0
361,9.0
362,23.0
364,23.0
367,33.0
368,108.0
369,26.0
370,27.0
374,17.0
375,31.0
376,9.0
377,2.0
378,72.0
379,16.0
381,50.0
382,24.0
383,33.0
384,27.0
385,40.0
386,11.0
