,biz_dt,mid,price,prodNo,dcateCd,dcateNm
463,2018-07-30 18:24:35,24186071,96900,101376413,4104294,이외 브랜드
171,2018-08-01 00:05:39,6973887,209000,100639808,4104294,이외 브랜드
172,2018-08-01 00:06:44,16412994,209000,100639808,4104294,이외 브랜드
707,2018-08-01 01:37:21,21777114,269000,100515472,4104294,이외 브랜드
295,2018-08-01 09:34:35,5003017,204000,100342481,4104294,이외 브랜드
335,2018-08-01 09:41:10,20962442,239000,100327142,4104294,이외 브랜드
712,2018-08-01 10:18:08,3818011,299000,100450445,4104294,이외 브랜드
759,2018-08-01 10:28:41,3818011,479000,100231628,4104294,이외 브랜드
478,2018-08-01 11:54:31,4362790,359000,101891087,4104294,이외 브랜드
600,2018-08-01 12:02:22,21280380,259000,100877462,4104294,이외 브랜드
748,2018-08-01 12:04:38,9661634,269000,101827218,4104294,이외 브랜드
761,2018-08-01 13:23:43,25098892,479000,100231628,4104294,이외 브랜드
819,2018-08-01 15:18:50,25356830,279000,100014009,4104294,이외 브랜드
746,2018-08-01 16:33:31,22051024,249000,101890320,4104294,이외 브랜드
733,2018-08-01 16:58:24,3918051,229000,101890357,4104294,이외 브랜드
671,2018-08-01 17:06:50,4400719,500000,101870043,4104294,이외 브랜드
673,2018-08-01 17:15:47,4400719,500000,101870043,4104294,이외 브랜드
710,2018-08-01 18:32:05,21550749,104900,101356704,4104294,이외 브랜드
443,2018-08-02 04:41:24,22384158,89000,101330313,4104294,이외 브랜드
582,2018-08-02 07:10:32,9971663,309000,100265484,4104294,이외 브랜드
576,2018-08-02 09:37:33,2158320,142900,100043311,4104294,이외 브랜드
479,2018-08-02 10:07:54,9369025,359000,101891087,4104294,이외 브랜드
419,2018-08-02 12:06:33,20813781,134900,100043331,4104294,이외 브랜드
567,2018-08-02 13:02:42,19993361,249000,101906703,4104294,이외 브랜드
364,2018-08-02 13:44:12,24707920,359000,100230823,4104294,이외 브랜드
482,2018-08-02 13:46:22,5176775,429000,101891153,4104294,이외 브랜드
563,2018-08-02 14:50:04,3520669,339000,101891039,4104294,이외 브랜드
695,2018-08-02 17:04:45,2481283,329000,101890403,4104294,이외 브랜드
603,2018-08-02 17:18:42,15874208,75900,101330105,4104294,이외 브랜드
