,biz_dt,mid,price,prodNo,dcateCd,dcateNm
266,2018-08-01 00:20:11,11093786,515000,102042687,4101182,Playstation
444,2018-08-01 02:29:10,21044338,402000,102038755,4101182,Playstation
215,2018-08-01 02:49:15,8813552,515000,102042687,4101182,Playstation
245,2018-08-01 08:54:17,16342278,515000,102042687,4101182,Playstation
235,2018-08-01 09:35:45,1081964,515000,102042687,4101182,Playstation
248,2018-08-01 09:48:14,5033833,515000,102042687,4101182,Playstation
457,2018-08-01 09:49:41,16396223,402000,102038755,4101182,Playstation
267,2018-08-01 09:54:51,1094512,515000,102042687,4101182,Playstation
446,2018-08-01 09:57:22,16396223,402000,102038755,4101182,Playstation
236,2018-08-01 09:57:53,1521668,515000,102042687,4101182,Playstation
447,2018-08-01 10:00:33,3628266,402000,102038755,4101182,Playstation
249,2018-08-01 10:00:45,1132757,515000,102042687,4101182,Playstation
268,2018-08-01 10:01:38,14756679,515000,102042687,4101182,Playstation
458,2018-08-01 10:02:05,1521668,402000,102038755,4101182,Playstation
250,2018-08-01 10:03:21,9472720,515000,102042687,4101182,Playstation
448,2018-08-01 10:10:45,22900822,402000,102038755,4101182,Playstation
251,2018-08-01 10:10:59,7586824,515000,102042687,4101182,Playstation
252,2018-08-01 10:11:25,9219290,515000,102042687,4101182,Playstation
269,2018-08-01 10:12:23,4603564,515000,102042687,4101182,Playstation
459,2018-08-01 10:12:29,22900822,402000,102038755,4101182,Playstation
270,2018-08-01 10:12:48,25282321,515000,102042687,4101182,Playstation
253,2018-08-01 10:13:18,17344593,515000,102042687,4101182,Playstation
254,2018-08-01 10:13:28,4100605,515000,102042687,4101182,Playstation
237,2018-08-01 10:20:43,17939659,515000,102042687,4101182,Playstation
271,2018-08-01 10:22:03,22900822,515000,102042687,4101182,Playstation
272,2018-08-01 10:24:25,22900822,515000,102042687,4101182,Playstation
255,2018-08-01 10:27:19,7454404,515000,102042687,4101182,Playstation
449,2018-08-01 10:28:24,1550240,402000,102038755,4101182,Playstation
238,2018-08-01 10:29:09,16396223,515000,102042687,4101182,Playstation
273,2018-08-01 10:29:59,7858553,515000,102042687,4101182,Playstation
274,2018-08-01 10:30:29,1550240,515000,102042687,4101182,Playstation
256,2018-08-01 10:30:30,1966750,515000,102042687,4101182,Playstation
275,2018-08-01 10:30:53,16396223,515000,102042687,4101182,Playstation
257,2018-08-01 10:33:36,25327711,515000,102042687,4101182,Playstation
276,2018-08-01 10:38:38,19342695,515000,102042687,4101182,Playstation
239,2018-08-01 10:38:52,10062614,515000,102042687,4101182,Playstation
240,2018-08-01 10:44:54,3173506,515000,102042687,4101182,Playstation
277,2018-08-01 10:45:20,1692748,515000,102042687,4101182,Playstation
278,2018-08-01 10:45:29,25392037,515000,102042687,4101182,Playstation
208,2018-08-01 11:24:28,25391933,515000,102042687,4101182,Playstation
209,2018-08-01 11:27:04,1577757,515000,102042687,4101182,Playstation
210,2018-08-01 11:29:49,23561864,515000,102042687,4101182,Playstation
217,2018-08-01 11:35:14,2851381,515000,102042687,4101182,Playstation
279,2018-08-01 11:40:27,20673379,515000,102042687,4101182,Playstation
218,2018-08-01 11:42:26,1505800,515000,102042687,4101182,Playstation
212,2018-08-01 11:48:01,2851381,515000,102042687,4101182,Playstation
219,2018-08-01 11:49:17,10281936,515000,102042687,4101182,Playstation
280,2018-08-01 11:49:57,13894790,515000,102042687,4101182,Playstation
220,2018-08-01 11:50:56,22352002,515000,102042687,4101182,Playstation
213,2018-08-01 11:51:11,7453182,515000,102042687,4101182,Playstation
222,2018-08-01 11:55:42,4073818,515000,102042687,4101182,Playstation
831,2018-08-01 15:48:04,23168898,394000,102590529,4101182,Playstation
549,2018-08-01 16:01:00,4109426,516000,102589785,4101182,Playstation
264,2018-08-01 16:31:43,25391933,515000,102042687,4101182,Playstation
214,2018-08-01 16:55:46,3002440,515000,102042687,4101182,Playstation
445,2018-08-01 17:01:38,21479485,402000,102038755,4101182,Playstation
833,2018-08-01 17:20:05,4100605,363000,101576275,4101182,Playstation
281,2018-08-01 17:27:50,2606532,515000,102042687,4101182,Playstation
228,2018-08-01 17:46:58,2802080,515000,102042687,4101182,Playstation
226,2018-08-01 18:29:59,5131383,515000,102042687,4101182,Playstation
260,2018-08-01 20:17:44,16930255,515000,102042687,4101182,Playstation
204,2018-08-01 20:40:01,5539216,515000,102042687,4101182,Playstation
207,2018-08-01 20:52:40,1218325,515000,102042687,4101182,Playstation
261,2018-08-01 21:10:12,6134480,515000,102042687,4101182,Playstation
243,2018-08-01 21:27:31,16930255,515000,102042687,4101182,Playstation
454,2018-08-01 21:45:33,2194643,402000,102038755,4101182,Playstation
325,2018-08-01 22:18:27,7807366,363000,102052939,4101182,Playstation
452,2018-08-01 22:32:30,1521668,402000,102038755,4101182,Playstation
265,2018-08-02 01:19:08,25391916,515000,102042687,4101182,Playstation
241,2018-08-02 08:31:25,17214725,515000,102042687,4101182,Playstation
288,2018-08-02 08:50:58,6842384,515000,102042687,4101182,Playstation
227,2018-08-02 10:44:35,20355314,515000,102042687,4101182,Playstation
246,2018-08-02 10:46:53,20355314,515000,102042687,4101182,Playstation
262,2018-08-02 11:41:29,11221963,515000,102042687,4101182,Playstation
224,2018-08-02 12:52:10,4987671,515000,102042687,4101182,Playstation
205,2018-08-02 13:23:42,19113837,515000,102042687,4101182,Playstation
225,2018-08-02 13:43:12,4987671,515000,102042687,4101182,Playstation
223,2018-08-02 14:42:39,15264893,515000,102042687,4101182,Playstation
307,2018-08-02 14:46:43,7807366,363000,102052939,4101182,Playstation
455,2018-08-02 16:58:51,17901336,402000,102038755,4101182,Playstation
247,2018-08-02 17:03:35,3002440,515000,102042687,4101182,Playstation
453,2018-08-02 17:49:23,12660220,402000,102038755,4101182,Playstation
849,2018-08-02 19:44:14,12300689,363000,101576275,4101182,Playstation
229,2018-08-02 20:26:05,2006391,515000,102042687,4101182,Playstation
309,2018-08-02 20:51:10,7807366,363000,102052939,4101182,Playstation
258,2018-08-02 22:11:31,2414090,515000,102042687,4101182,Playstation
242,2018-08-02 22:24:26,1373846,515000,102042687,4101182,Playstation
216,2018-08-02 22:26:16,2414090,515000,102042687,4101182,Playstation
606,2018-08-03 00:30:11,4608624,516000,101575773,4101182,Playstation
834,2018-08-03 00:30:11,4608624,363000,101576275,4101182,Playstation
306,2018-08-03 01:43:42,11745152,363000,102052939,4101182,Playstation
326,2018-08-03 02:19:33,6744309,363000,102052939,4101182,Playstation
527,2018-08-03 11:28:29,25410022,516000,102589785,4101182,Playstation
850,2018-08-03 16:10:54,4657666,363000,101576275,4101182,Playstation
646,2018-08-03 16:11:20,2842961,516000,101575773,4101182,Playstation
845,2018-08-03 16:54:21,6374066,363000,101576275,4101182,Playstation
310,2018-08-03 17:16:43,3251377,363000,102052939,4101182,Playstation
282,2018-08-03 17:54:23,25412138,515000,102042687,4101182,Playstation
313,2018-08-03 18:51:39,6339443,363000,102052939,4101182,Playstation
314,2018-08-03 19:53:26,2392401,363000,102052939,4101182,Playstation
633,2018-08-03 20:41:21,13163087,516000,101575773,4101182,Playstation
259,2018-08-03 23:28:50,4067008,515000,102042687,4101182,Playstation
283,2018-08-04 01:27:29,1323645,515000,102042687,4101182,Playstation
284,2018-08-04 02:40:14,13432559,515000,102042687,4101182,Playstation
319,2018-08-04 13:05:56,5080048,363000,102052939,4101182,Playstation
