mid,,biz_dt
1032048,1,2 days 00:00:00.000000000
1373629,1,6 days 00:00:00.000000000
1379714,1,0 days 00:00:00.000000000
1423220,1,1 days 00:00:00.000000000
1423220,2,0 days 00:00:00.000000000
1447835,1,0 days 00:00:00.000000000
1499901,1,21 days 00:00:00.000000000
1502656,1,20 days 00:00:00.000000000
1502656,2,1 days 00:00:00.000000000
1514206,1,20 days 00:00:00.000000000
1514206,2,1 days 00:00:00.000000000
1521668,1,0 days 00:00:00.000000000
1521668,2,0 days 00:00:00.000000000
1550240,1,0 days 00:00:00.000000000
1550240,2,6 days 00:00:00.000000000
1550240,3,10 days 00:00:00.000000000
1550240,4,0 days 00:00:00.000000000
1550240,5,5 days 00:00:00.000000000
1550240,6,11 days 00:00:00.000000000
1550240,7,0 days 00:00:00.000000000
1550240,8,12 days 00:00:00.000000000
1550240,9,17 days 00:00:00.000000000
1550240,10,25 days 00:00:00.000000000
1550240,11,0 days 00:00:00.000000000
1568639,1,2 days 00:00:00.000000000
1590740,1,0 days 00:00:00.000000000
1607507,1,0 days 00:00:00.000000000
1624537,1,27 days 00:00:00.000000000
1624537,2,30 days 00:00:00.000000000
1624537,3,2 days 00:00:00.000000000
1624537,4,3 days 00:00:00.000000000
1624537,5,3 days 00:00:00.000000000
1757234,1,0 days 00:00:00.000000000
1901867,1,0 days 00:00:00.000000000
1903218,1,0 days 00:00:00.000000000
2056555,1,0 days 00:00:00.000000000
2056555,2,29 days 00:00:00.000000000
2056555,3,1 days 00:00:00.000000000
2056555,4,1 days 00:00:00.000000000
2056555,5,5 days 00:00:00.000000000
2056555,6,2 days 00:00:00.000000000
2062514,1,1 days 00:00:00.000000000
2151830,1,0 days 00:00:00.000000000
2151830,2,3 days 00:00:00.000000000
2151830,3,0 days 00:00:00.000000000
2154852,1,27 days 00:00:00.000000000
2297362,1,0 days 00:00:00.000000000
2297362,2,0 days 00:00:00.000000000
2307545,1,0 days 00:00:00.000000000
2414090,1,0 days 00:00:00.000000000
2421559,1,0 days 00:00:00.000000000
2428924,1,0 days 00:00:00.000000000
2470217,1,4 days 00:00:00.000000000
2470217,2,2 days 00:00:00.000000000
2518873,1,39 days 00:00:00.000000000
2518873,2,1 days 00:00:00.000000000
2518873,3,4 days 00:00:00.000000000
2518873,4,1 days 00:00:00.000000000
2518873,5,6 days 00:00:00.000000000
2518873,6,1 days 00:00:00.000000000
2611051,1,0 days 00:00:00.000000000
2611051,2,0 days 00:00:00.000000000
2611051,3,0 days 00:00:00.000000000
2611051,4,1 days 00:00:00.000000000
2638533,1,0 days 00:00:00.000000000
2743312,1,0 days 00:00:00.000000000
2831451,1,0 days 00:00:00.000000000
2851381,1,0 days 00:00:00.000000000
2963001,1,1 days 00:00:00.000000000
2963001,2,4 days 00:00:00.000000000
2963001,3,1 days 00:00:00.000000000
2963001,4,6 days 00:00:00.000000000
2963001,5,1 days 00:00:00.000000000
2963001,6,0 days 00:00:00.000000000
3002440,1,1 days 00:00:00.000000000
3040180,1,1 days 00:00:00.000000000
3040180,2,1 days 00:00:00.000000000
3051295,1,0 days 00:00:00.000000000
3051295,2,0 days 00:00:00.000000000
3051295,3,0 days 00:00:00.000000000
3223519,1,0 days 00:00:00.000000000
3254320,1,0 days 00:00:00.000000000
3635377,1,0 days 00:00:00.000000000
3642461,1,1 days 00:00:00.000000000
3642683,1,2 days 00:00:00.000000000
3861681,1,0 days 00:00:00.000000000
4073246,1,5 days 00:00:00.000000000
4073246,2,0 days 00:00:00.000000000
4073246,3,13 days 00:00:00.000000000
4073246,4,36 days 00:00:00.000000000
4073246,5,2 days 00:00:00.000000000
4073246,6,14 days 00:00:00.000000000
4100605,1,0 days 00:00:00.000000000
4327506,1,1 days 00:00:00.000000000
4327506,2,0 days 00:00:00.000000000
4357076,1,0 days 00:00:00.000000000
4608624,1,0 days 00:00:00.000000000
4717602,1,0 days 00:00:00.000000000
4717602,2,0 days 00:00:00.000000000
4717602,3,0 days 00:00:00.000000000
4732730,1,0 days 00:00:00.000000000
4790864,1,6 days 00:00:00.000000000
4819538,1,0 days 00:00:00.000000000
4987671,1,0 days 00:00:00.000000000
5144728,1,0 days 00:00:00.000000000
5331420,1,12 days 00:00:00.000000000
5417048,1,0 days 00:00:00.000000000
5444772,1,1 days 00:00:00.000000000
5455933,1,2 days 00:00:00.000000000
5722752,1,1 days 00:00:00.000000000
5749988,1,0 days 00:00:00.000000000
5767256,1,0 days 00:00:00.000000000
5785081,1,0 days 00:00:00.000000000
6149532,1,1 days 00:00:00.000000000
6242675,1,1 days 00:00:00.000000000
6687460,1,0 days 00:00:00.000000000
6689937,1,0 days 00:00:00.000000000
6753682,1,1 days 00:00:00.000000000
7011624,1,2 days 00:00:00.000000000
7067567,1,1 days 00:00:00.000000000
7067567,2,3 days 00:00:00.000000000
7067567,3,6 days 00:00:00.000000000
7067567,4,1 days 00:00:00.000000000
7067567,5,56 days 00:00:00.000000000
7067567,6,1 days 00:00:00.000000000
7067567,7,4 days 00:00:00.000000000
7067567,8,1 days 00:00:00.000000000
7425148,1,0 days 00:00:00.000000000
7519687,1,0 days 00:00:00.000000000
7752903,1,1 days 00:00:00.000000000
7807366,1,1 days 00:00:00.000000000
7807366,2,0 days 00:00:00.000000000
7877658,1,0 days 00:00:00.000000000
7933881,1,0 days 00:00:00.000000000
8391622,1,1 days 00:00:00.000000000
8443306,1,1 days 00:00:00.000000000
8443306,2,1 days 00:00:00.000000000
8443306,3,4 days 00:00:00.000000000
8626868,1,0 days 00:00:00.000000000
9218622,1,11 days 00:00:00.000000000
9218622,2,19 days 00:00:00.000000000
9218622,3,10 days 00:00:00.000000000
9218622,4,1 days 00:00:00.000000000
9218622,5,8 days 00:00:00.000000000
9219290,1,39 days 00:00:00.000000000
9389885,1,0 days 00:00:00.000000000
9527738,1,0 days 00:00:00.000000000
10074378,1,0 days 00:00:00.000000000
10074378,2,0 days 00:00:00.000000000
10548380,1,1 days 00:00:00.000000000
10594189,1,0 days 00:00:00.000000000
11668983,1,5 days 00:00:00.000000000
11744095,1,0 days 00:00:00.000000000
11938919,1,2 days 00:00:00.000000000
11938919,2,26 days 00:00:00.000000000
11938919,3,1 days 00:00:00.000000000
11938919,4,35 days 00:00:00.000000000
11938919,5,1 days 00:00:00.000000000
11938919,6,6 days 00:00:00.000000000
11980620,1,0 days 00:00:00.000000000
12578798,1,0 days 00:00:00.000000000
12584239,1,0 days 00:00:00.000000000
12933637,1,0 days 00:00:00.000000000
13063061,1,1 days 00:00:00.000000000
13063164,1,1 days 00:00:00.000000000
13858432,1,1 days 00:00:00.000000000
15173167,1,27 days 00:00:00.000000000
15173167,2,36 days 00:00:00.000000000
15173167,3,2 days 00:00:00.000000000
15328403,1,0 days 00:00:00.000000000
15371258,1,36 days 00:00:00.000000000
15423146,1,0 days 00:00:00.000000000
15713932,1,0 days 00:00:00.000000000
16396223,1,0 days 00:00:00.000000000
16396223,2,0 days 00:00:00.000000000
16396223,3,0 days 00:00:00.000000000
16846491,1,0 days 00:00:00.000000000
16930255,1,0 days 00:00:00.000000000
17513967,1,0 days 00:00:00.000000000
17513967,2,2 days 00:00:00.000000000
18052417,1,29 days 00:00:00.000000000
18052417,2,1 days 00:00:00.000000000
18052417,3,1 days 00:00:00.000000000
18052417,4,5 days 00:00:00.000000000
18052417,5,2 days 00:00:00.000000000
18236321,1,1 days 00:00:00.000000000
18449407,1,0 days 00:00:00.000000000
19805580,1,0 days 00:00:00.000000000
20355314,1,0 days 00:00:00.000000000
20573409,1,0 days 00:00:00.000000000
21207591,1,1 days 00:00:00.000000000
21207591,2,1 days 00:00:00.000000000
21471180,1,0 days 00:00:00.000000000
21471180,2,0 days 00:00:00.000000000
21498441,1,0 days 00:00:00.000000000
21498441,2,0 days 00:00:00.000000000
22597279,1,1 days 00:00:00.000000000
22869741,1,0 days 00:00:00.000000000
22869741,2,0 days 00:00:00.000000000
22900822,1,0 days 00:00:00.000000000
22900822,2,0 days 00:00:00.000000000
22900822,3,0 days 00:00:00.000000000
23157736,1,13 days 00:00:00.000000000
23157736,2,2 days 00:00:00.000000000
23157736,3,1 days 00:00:00.000000000
23157736,4,31 days 00:00:00.000000000
23157736,5,0 days 00:00:00.000000000
23157736,6,5 days 00:00:00.000000000
23367482,1,35 days 00:00:00.000000000
23504248,1,29 days 00:00:00.000000000
23613953,1,0 days 00:00:00.000000000
23625843,1,2 days 00:00:00.000000000
23825949,1,11 days 00:00:00.000000000
23825949,2,25 days 00:00:00.000000000
23825949,3,4 days 00:00:00.000000000
23825949,4,1 days 00:00:00.000000000
23825949,5,6 days 00:00:00.000000000
24032887,1,0 days 00:00:00.000000000
24046742,1,1 days 00:00:00.000000000
