mid,,biz_dt
1009146,1,1 days 00:00:00.000000000
1167947,1,15 days 00:00:00.000000000
1167947,2,20 days 00:00:00.000000000
1167947,3,7 days 00:00:00.000000000
1167947,4,15 days 00:00:00.000000000
1167947,5,4 days 00:00:00.000000000
1167947,6,0 days 00:00:00.000000000
1341244,1,0 days 00:00:00.000000000
1345458,1,0 days 00:00:00.000000000
1446641,1,0 days 00:00:00.000000000
1446641,2,0 days 00:00:00.000000000
1446641,3,0 days 00:00:00.000000000
1446641,4,29 days 00:00:00.000000000
1508515,1,45 days 00:00:00.000000000
1590770,1,1 days 00:00:00.000000000
1712482,1,3 days 00:00:00.000000000
1731961,1,0 days 00:00:00.000000000
1799295,1,0 days 00:00:00.000000000
1808032,1,3 days 00:00:00.000000000
1808032,2,10 days 00:00:00.000000000
1887990,1,1 days 00:00:00.000000000
2057474,1,7 days 00:00:00.000000000
2078326,1,0 days 00:00:00.000000000
2115361,1,0 days 00:00:00.000000000
2269063,1,1 days 00:00:00.000000000
2411590,1,0 days 00:00:00.000000000
2557803,1,59 days 00:00:00.000000000
2712720,1,1 days 00:00:00.000000000
2866411,1,0 days 00:00:00.000000000
3520669,1,2 days 00:00:00.000000000
3626995,1,0 days 00:00:00.000000000
3759936,1,0 days 00:00:00.000000000
3799094,1,0 days 00:00:00.000000000
3818011,1,0 days 00:00:00.000000000
3864407,1,33 days 00:00:00.000000000
3914781,1,1 days 00:00:00.000000000
4116920,1,0 days 00:00:00.000000000
4398202,1,3 days 00:00:00.000000000
4400719,1,0 days 00:00:00.000000000
4568065,1,0 days 00:00:00.000000000
4568065,2,0 days 00:00:00.000000000
4568065,3,0 days 00:00:00.000000000
4607474,1,0 days 00:00:00.000000000
4968043,1,0 days 00:00:00.000000000
4968043,2,0 days 00:00:00.000000000
4968043,3,1 days 00:00:00.000000000
4978895,1,20 days 00:00:00.000000000
4978895,2,36 days 00:00:00.000000000
4981236,1,0 days 00:00:00.000000000
5151301,1,0 days 00:00:00.000000000
5974743,1,0 days 00:00:00.000000000
6113659,1,0 days 00:00:00.000000000
6360881,1,0 days 00:00:00.000000000
6519496,1,1 days 00:00:00.000000000
6823477,1,4 days 00:00:00.000000000
7426587,1,0 days 00:00:00.000000000
7459019,1,0 days 00:00:00.000000000
7459019,2,0 days 00:00:00.000000000
7697306,1,0 days 00:00:00.000000000
7719428,1,20 days 00:00:00.000000000
7737481,1,1 days 00:00:00.000000000
7834574,1,0 days 00:00:00.000000000
7880334,1,1 days 00:00:00.000000000
7981856,1,1 days 00:00:00.000000000
8409294,1,1 days 00:00:00.000000000
8470920,1,20 days 00:00:00.000000000
8505503,1,0 days 00:00:00.000000000
8505503,2,1 days 00:00:00.000000000
8505503,3,77 days 00:00:00.000000000
8505503,4,0 days 00:00:00.000000000
8696339,1,0 days 00:00:00.000000000
9079448,1,0 days 00:00:00.000000000
