,mid,dcateCd,scateCd,mcateCd,lcateCd,userOrderCnt,userFirstLastOrderPeriod,orderMeanPeriod,userRecentlyOrderPeriod,alpha,beta,lambda,prob,rcp,score
0,10017689,4104891,3100863,2100154,1100024,2,1,1.0,1,Infinity,Infinity,,,0.1139240506329114,
1,10019746,4103141,3100566,2100093,1100017,2,1,1.0,1,Infinity,Infinity,,,0.032085561497326213,
2,10023760,4104481,3100803,2100144,1100023,2,12,12.0,12,Infinity,Infinity,,,0.057142857142857134,
3,10048010,4105738,3101052,2100201,1100034,2,1,1.0,1,Infinity,Infinity,,,,
4,10095299,4105738,3101052,2100201,1100034,2,1,1.0,1,Infinity,Infinity,,,,
0,10118187,4103867,3100683,2100119,1100017,2,7,7.0,7,Infinity,Infinity,,,0.11494252873563217,
1,10132208,4102468,3100454,2100077,1100013,2,6,6.0,6,Infinity,Infinity,,,0.030303030303030307,
2,10188557,232040111,232040100,232040000,232000000,2,28,28.0,28,Infinity,Infinity,,,0.0967741935483871,
3,10190522,235040302,235040300,235040000,235000000,4,7,7.0,7,Infinity,Infinity,,,0.2608695652173913,
4,10201199,4105738,3101052,2100201,1100034,4,1,1.0,1,Infinity,Infinity,,,,
0,10213742,4105740,3101054,2100202,1100035,2,1,1.0,1,Infinity,Infinity,,,0.11363636363636365,
1,10231614,4103416,3100614,2100098,1100018,2,16,16.0,16,Infinity,Infinity,,,0.08888888888888889,
2,10237591,4102788,3100500,2100081,1100014,2,31,31.0,31,Infinity,Infinity,,,0.18181818181818185,
3,1024084,4102319,3100423,2100070,1100013,3,4,4.0,4,Infinity,Infinity,,,0.13513513513513514,
4,1026853,232063601,232063600,232060000,232000000,2,15,15.0,15,Infinity,Infinity,,,0.14285714285714285,
0,10293497,4103666,3100647,2100108,1100019,2,51,51.0,51,Infinity,Infinity,,,0.02564102564102564,
1,10307533,4101624,3100308,2100047,1100009,3,35,35.0,35,Infinity,Infinity,,,0.16279069767441862,
2,10308987,4105134,3100906,2100171,1100027,2,2,2.0,2,Infinity,Infinity,,,0.02666666666666667,
3,10331407,4104684,3100836,2100151,1100024,3,7,7.0,7,Infinity,Infinity,,,0.0480349344978166,
0,10337967,4105738,3101052,2100201,1100034,2,1,1.0,1,Infinity,Infinity,,,,
1,10462818,4102693,3100489,2100084,1100014,2,7,7.0,7,Infinity,Infinity,,,0.059701492537313425,
2,10481533,4105738,3101052,2100201,1100034,2,1,1.0,1,Infinity,Infinity,,,,
3,10507275,4101707,3100325,2100051,1100010,2,23,23.0,23,Infinity,Infinity,,,0.060606060606060615,
4,10550536,4100114,3100018,2100005,1100000,2,1,1.0,1,Infinity,Infinity,,,0.016666666666666666,
0,1057542,4100277,3100048,2100008,1100001,2,3,3.0,3,Infinity,Infinity,,,0.04672897196261682,
1,1062030,4103863,3100683,2100119,1100017,3,6,6.0,6,Infinity,Infinity,,,0.3,
2,10669752,4105738,3101052,2100201,1100034,5,1,1.0,1,Infinity,Infinity,,,,
3,10704791,4101956,3100370,2100062,1100011,3,4,4.0,4,Infinity,Infinity,,,0.07692307692307693,
4,10727628,4102588,3100474,2100078,1100013,2,1,1.0,1,Infinity,Infinity,,,0.02479338842975207,
0,10752156,4104135,3100728,2100125,1100020,2,8,8.0,8,Infinity,Infinity,,,,
1,10772143,4105746,3101058,2100202,1100035,2,2,2.0,2,Infinity,Infinity,,,0.16666666666666666,
2,1083945,4103177,3100573,2100094,1100017,2,4,4.0,4,Infinity,Infinity,,,0.020202020202020204,
3,10881981,4104877,3100862,2100154,1100024,2,1,1.0,1,Infinity,Infinity,,,0.06521739130434782,
0,10888666,4100406,3100071,2100009,1100002,3,1,1.0,1,Infinity,Infinity,,,0.04291845493562232,
1,10907226,4102509,3100462,2100077,1100013,2,2,2.0,2,Infinity,Infinity,,,0.07758620689655173,
2,10965650,4100583,3100113,2100011,1100002,2,15,15.0,15,Infinity,Infinity,,,0.02962962962962963,
3,10983871,235060403,235060400,235060000,235000000,2,2,2.0,2,Infinity,Infinity,,,0.08333333333333333,
4,11092194,4100194,3100033,2100006,1100001,2,1,1.0,1,Infinity,Infinity,,,0.07317073170731707,
0,11112090,4103359,3100604,2100097,1100018,2,3,3.0,3,Infinity,Infinity,,,0.09090909090909093,
1,11163634,4102944,3100529,2100090,1100016,2,4,4.0,4,Infinity,Infinity,,,0.13333333333333333,
2,1118635,4105373,3100970,2100180,1100005,4,26,26.0,26,Infinity,Infinity,,,0.2631578947368421,
