dcateCd,scateCd,mcateCd,lcateCd,moreT2TimesOrderUserCnt,totalOrderUserCnt,rcp,,,
4101182,3100220,2100031,1100006,239,2024,0.118083004,,,
4101747,3100335,2100054,1100010,2272,20536,0.110634982,,,
4104294,3100757,2100135,1100022,251,2807,0.089419309,,,
4104496,3100805,2100145,1100023,83,843,0.098457888,,,
244030804,244030800,244030000,244000000,266288,836855,0.318200883,,,
4100000,3100000,2100000,1100000,3158,12837,0.246007634,,,
4100001,3100000,2100000,1100000,85,632,0.134493671,,,
4100002,3100488,2100084,1100014,56,507,0.110453649,,,
4100003,3100000,2100000,1100000,575,5536,0.103865607,,,
4100004,3100000,2100000,1100000,43,277,0.155234657,,,
4100005,3100000,2100000,1100000,65,729,0.089163237,,,
4100006,3100000,2100000,1100000,732,5105,0.143388834,,,
4100007,3100001,2100000,1100000,23,198,0.116161616,,,
4100008,3100001,2100000,1100000,42,566,0.074204947,,,
4100009,3100001,2100000,1100000,42,322,0.130434783,,,
4100010,3100001,2100000,1100000,39,220,0.177272727,,,
4100011,3100001,2100000,1100000,144,1048,0.13740458,,,
4100012,3100001,2100000,1100000,72,492,0.146341463,,,
4100013,3100001,2100000,1100000,269,1080,0.249074074,,,
4100014,3100001,2100000,1100000,63,405,0.155555556,,,
4100015,3100002,2100000,1100000,33,214,0.154205607,,,
4100016,3100002,2100000,1100000,56,396,0.141414141,,,
4100017,3100002,2100000,1100000,344,2077,0.165623495,,,
4100018,3100002,2100000,1100000,319,3274,0.097434331,,,
4100019,3100002,2100000,1100000,745,6568,0.113428745,,,
4100020,3100003,2100000,1100000,2,15,0.133333333,,,
4100021,3100003,2100000,1100000,536,3030,0.17689769,,,
4100022,3100003,2100000,1100000,53,632,0.083860759,,,
4100023,3100003,2100000,1100000,8,62,0.129032258,,,
4100024,3100004,2100000,1100000,30,303,0.099009901,,,
4100025,3100004,2100000,1100000,1005,9927,0.101239045,,,
4100026,3100004,2100000,1100000,1050,4060,0.25862069,,,
4100027,3100004,2100000,1100000,31,410,0.075609756,,,
4100028,3100004,2100000,1100000,842,6284,0.133991088,,,
4100029,3100004,2100000,1100000,39,411,0.094890511,,,
4100030,3100005,2100001,1100000,279,1707,0.16344464,,,
4100031,3100005,2100001,1100000,285,3743,0.076142132,,,
4100032,3100005,2100001,1100000,49,222,0.220720721,,,
4100033,3100005,2100001,1100000,122,2382,0.051217464,,,
4100034,3100005,2100001,1100000,100,1017,0.098328417,,,
4100035,3100005,2100001,1100000,27,163,0.165644172,,,
4100036,3100005,2100001,1100000,5,83,0.060240964,,,
4100037,3100006,2100001,1100000,1633,15280,0.106871728,,,
4100038,3100006,2100001,1100000,17,63,0.26984127,,,
4100039,3100006,2100001,1100000,6140,31805,0.193051407,,,
4100040,3100007,2100002,1100000,82,938,0.087420043,,,
4100041,3100007,2100002,1100000,35,591,0.059221658,,,
4100042,3100007,2100002,1100000,105,1025,0.102439024,,,
4100043,3100007,2100002,1100000,4,75,0.053333333,,,
4100044,3100007,2100002,1100000,3,69,0.043478261,,,
4100045,3100008,2100002,1100000,23,200,0.115,,,
4100046,3100008,2100002,1100000,6,134,0.044776119,,,
4100047,3100008,2100002,1100000,38,324,0.117283951,,,
4100048,3100008,2100002,1100000,4,29,0.137931034,,,
4100049,3100506,2100085,1100014,4,142,0.028169014,,,
4100050,3100009,2100002,1100000,58,613,0.094616639,,,
4100051,3100009,2100002,1100000,37,457,0.080962801,,,
4100052,3100009,2100002,1100000,38,433,0.087759815,,,
4100053,3100009,2100002,1100000,37,471,0.078556263,,,
4100054,3100009,2100002,1100000,55,1166,0.047169811,,,
4100055,3100009,2100002,1100000,43,606,0.070957096,,,
4100056,3100009,2100002,1100000,10,99,0.101010101,,,
4100057,3100009,2100002,1100000,110,700,0.157142857,,,
4100058,3100009,2100002,1100000,17,154,0.11038961,,,
4100059,3100010,2100002,1100000,5,88,0.056818182,,,
4100060,3100010,2100002,1100000,44,466,0.094420601,,,
4100061,3100010,2100002,1100000,44,328,0.134146341,,,
4100062,3100010,2100002,1100000,14,213,0.0657277,,,
4100063,3100010,2100002,1100000,24,457,0.052516411,,,
4100064,3100010,2100002,1100000,87,460,0.189130435,,,
4100065,3100010,2100002,1100000,31,839,0.036948749,,,
4100066,3100010,2100002,1100000,21,160,0.13125,,,
4100067,3100010,2100002,1100000,43,241,0.178423237,,,
4100068,3100011,2100002,1100000,21,256,0.08203125,,,
4100069,3100011,2100002,1100000,8,84,0.095238095,,,
4100070,3100011,2100002,1100000,29,411,0.070559611,,,
