dcateCd,mcateCd,mcateNm,scateCd,scateNm,dcateNm,lcateCd,lcateNm,avgOrderInterval,moreThan1,moreThan2
233120305,233120000,휴대폰/액세서리,233120300,휴대폰/태블릿 액세서리,보호필름/스티커,233000000,디지털/가전,28.463120977655652,151766,26322
244030902,244030000,트랜드,244030900,헤어 악세서리/가발,헤어악세사리,244000000,잡화,30.84264705882353,112823,15620
243010103,243010000,남성의류,243010100,상의,니트/스웨터,243000000,의류/소호,12.326737451737452,18943,2260
4100077,2100003,즉석조리식품,3100012,만두/피자/핫도그,왕만두/손만두,1100000,가공식품,24.52542372881356,1369,118
4102609,2100082,과일/견과,3100480,견과류,밤/땅콩,1100014,신선식품,21.2070796460177,5497,659
4100122,2100005,통조림/식용유/잼,3100019,통조림/캔,참치캔,1100000,가공식품,34.817763460653474,23796,4831
239010703,239010000,스포츠 신발,239010700,샌들/슬리퍼/아쿠아슈즈,아쿠아슈즈,239000000,스포츠패션,10.758206565252202,25893,2282
4103619,2100106,생활용품,3100642,주방소모품/위생용품,고무장갑,1100026,세제/구강,34.94827586206897,1770,190
237020501,237020000,문구/사무용품,237020500,파일/사무용품,가위/칼/풀,237000000,생활/주방,30.74074074074074,1975,128
4103368,2100097,자동차/오토바이용품,3100606,차량용 인테리어 용품,스티커/엠블럼,1100018,자동차/공구,7.923076923076923,739,62
4100836,2100018,안마용품,3100168,핫팩/찜질팩/온열기,찜질기/온열기,1100003,건강/의료용품,10.829787234042554,2318,180
4102244,2100069,골프,3100410,골프 필드용품,헤드커버/아이언커버,1100013,스포츠/레저용품,14.333333333333334,289,42
233110101,233110000,태블릿/음향기기,233110100,MP3/PMP,MP3,233000000,디지털/가전,22.176470588235293,538,28
4103149,2100093,육아용품,3100567,유아 치약/칫솔/구강용품,이외 유아 구강용품,1100017,유아동/출산/완구,35.8,255,9
4104604,2100148,지갑/벨트,3100823,여성 지갑,장지갑,1100023,패션 신발/잡화,16.25,160,13
233080123,233080000,주방가전,233080100,주방가전,커피메이커/머신,233000000,디지털/가전,21.292035398230087,3473,180
238030301,238030000,구기/라켓스포츠,238030300,라켓스포츠,라켓스포츠 기타,238000000,스포츠/자동차,7.269230769230769,596,18
4101414,2100038,트렌드-슬리밍/다이어트,3100269,트렌드-바디 슬리밍,바디슬리밍 패치,1100007,미용,20.4,41,14
4101334,2100035,휴대폰/액세서리,3100254,휴대폰 주변기기,위치추적기,1100006,디지털/휴대폰/카메라,4.0,9,1
4100807,2100017,실버/의료용품,3100164,실버용품,지팡이,1100003,건강/의료용품,11.11111111111111,210,13
4102868,2100088,트렌드 잠옷/홈웨어,3100515,남성 잠옷/내의,발열 내의,1100015,언더웨어,3.375,258,32
4100288,2100008,조명/인테리어,3100049,캔들/디퓨져,포푸리/인센스/콘향,1100001,가구/침구/인테리어,3.0,35,4
4105641,2100046,강아지용품,3100300,강아지 목욕/미용용품,드라이기/타올,1100009,반려동물용품,2.473684210526316,170,20
4104924,2100157,트렌드-향수,3100869,트렌드-향수,섬유 향수,1100025,향수,16.2,96,4
4104289,2100135,모니터,3100756,LCD 모니터,이외 브랜드,1100022,컴퓨터/태블릿,9.285714285714286,244,13
4103688,2100108,청소세탁용품,3100651,청소도구/크리너,물호스/청소호스,1100019,주방/욕실/생활용품,3.0,361,14
4102568,2100078,휘트니스/요가,3100472,요가/필라테스 용품,필라테스,1100013,스포츠/레저용품,14.0,278,11
4101199,2100032,음향기기,3100224,스피커 액세서리,스피커 연결잭/케이블,1100006,디지털/휴대폰/카메라,33.0,64,4
238020105,238020000,공구/산업자재,238020100,공구/산업자재,배관/밸브/피팅,238000000,스포츠/자동차,17.5,119,5
232062503,232060000,일반도서,232062500,육아/자녀교육,육아,232000000,도서/교육,18.75,273,9
4103997,2100121,문구/사무용품,3100705,칠판보드/게시판,스케줄보드/코르크판/게시판,1100020,취미/문구/놀이,8.8,232,10
4103807,2100113,블록/교육/퍼즐,3100673,자연/과학 완구,과학상자/실험도구,1100020,취미/문구/놀이,32.0,100,11
4102903,2100089,아동신발/잡화,3100522,유아동 모자/장갑/양말,썬캡/플랩캡,1100016,유아동 패션,6.0,100,11
241030303,241030000,출산/유아용품,241030300,수유용품,이유식용품,241000000,유아동/출산,30.873639560194228,78626,16393
4103020,2100091,기저귀,3100541,이외 기저귀,페넬로페/러비아/베이비슈,1100017,유아동/출산/완구,29.052867383512545,4545,1073
233020131,233020000,계절가전,233020100,계절가전,전기히터,233000000,디지털/가전,11.634328358208956,8605,589
244010801,244010000,국내브랜드,244010800,패션잡화,넥타이/손수건,244000000,잡화,16.616984402079723,7840,791
244020701,244020000,해외브랜드,244020700,지갑/벨트,벨트,244000000,잡화,10.109243697478991,4253,246
235010102,235010000,남성 정장,235010100,상의,니트/스웨터,235000000,브랜드패션,19.23076923076923,2839,204
4103132,2100093,육아용품,3100565,유아 안전용품,안전문,1100017,유아동/출산/완구,6.766666666666667,585,122
4103084,2100093,육아용품,3100557,아기띠/외출용품,슬링/핸드시트,1100017,유아동/출산/완구,4.0,21,2
4101520,2100043,바디케어/워시/제모,3100289,청결제,여성 청결제,1100008,바디/헤어,35.65714285714286,1754,56
239020306,239020000,스포츠 의류,239020300,남성 티셔츠/상의,집업 티셔츠,239000000,스포츠패션,14.152542372881356,2263,178
4104970,2100161,주방세제/세정제,3100877,주거세정제/청소세제,락스/살균소독제,1100026,세제/구강,36.06521739130435,1661,146
4103644,2100107,주방용품,3100644,주방수납 용품,프라이팬 정리대,1100019,주방/욕실/생활용품,17.571428571428573,529,23
4105270,2100025,국내도서,3100192,소설/시/희곡,스릴러/추리/호러소설,1100005,도서/교육/음반,13.3,170,31
4103152,2100093,육아용품,3100568,이외 육아용품,탯줄도장,1100017,유아동/출산/완구,5.0,172,37
4100417,2100009,계절가전,3100074,에어컨 부품,실외기 커버/바람막이,1100002,가전,10.333333333333334,293,15
