mid,dcateCd,scateCd,mcateCd,lcateCd,userOrderCnt,userFirstLastOrderPeriod,orderMeanPeriod,userRecentlyOrderPeriod,alpha,beta,lambda,prob,rcp,score
10195671,232051105,232051100,232050000,232000000,2,6,6.0,6,0.705915239558195,0.4877925903487329,0.737306409108294,0.5215992023929529,0.09514652014652014,0.049628349018889927
10195697,240030201,240030200,240030000,240000000,2,25,25.0,25,0.7911878051267888,0.915028828183179,0.2400339499343664,0.21339884444437285,0.4354349041852609,0.09292130538388088
10195697,240040301,240040300,240040000,240000000,2,28,28.0,28,0.8259946392784476,0.9791833961148405,0.22327133518724737,0.20010222056722105,0.1986159948944477,0.039743501618546825
10195697,234030401,234030400,234030000,234000000,2,65,65.0,65,0.973557676694897,2.4832295227770516,0.10699957302035999,0.1014739433574442,0.04108546791782906,0.004169104444307877
10195697,231060206,231060200,231060000,231000000,2,8,8.0,8,0.6952739664965962,0.39835714878617934,0.6365034749093208,0.4708606577498875,0.2672500535800559,0.12583753601239778
10195721,238070313,238070300,238070000,238000000,2,6,6.0,6,0.8725406174315257,0.34323904514713643,0.9649053363235354,0.6189807332832148,0.12056183377414442,0.07462545227548896
10195723,243010105,243010100,243010000,243000000,2,2,2.0,2,0.7487708444804784,0.45502141763847237,1.3965644230626677,0.7525543762329384,0.26950170032618503,0.20281468398268848
10195725,235030110,235030100,235030000,235000000,5,21,7.0,2,0.8887718808808273,0.4547139342698758,0.32827440463848173,0.2798346241302637,0.28146320780171913,0.07876315096169238
10195725,237020701,237020700,237020000,237000000,2,27,27.0,27,0.738681608430053,0.5154167601193159,0.23427831380507336,0.208858400376552,0.1180587304378407,0.02465755758973396
10195725,240010106,240010100,240010000,240000000,2,3,3.0,3,0.7201754810017721,0.7062531000877115,0.8863835256579922,0.5878564325541751,0.2543801658222909,0.1495390167928314
10195725,240030601,240030600,240030000,240000000,2,53,53.0,53,0.761468855569276,0.6768397110687885,0.1269579389780108,0.1192292820653964,0.39711388375960255,0.04734760325885869
1019574,4101201,3100225,2100032,1100006,2,3,3.0,3,0.9676075835666024,0.2881069890159541,1.7487925386396528,0.8260161044984172,0.0928859146566527,0.0767252613874607
