did,orderId,mid,dcateCd,scateCd,mcateCd,lcateCd
100488385,3124089,5833156,4105198,3100210,2100028,1100005
100488385,3201625,13348477,4105198,3100210,2100028,1100005
100488385,3576024,9615840,4105198,3100210,2100028,1100005
100488385,1696473,19918609,4105198,3100210,2100028,1100005
100488385,1662987,6948365,4105198,3100210,2100028,1100005
100488385,1783456,19495142,4105198,3100210,2100028,1100005
100488385,1805680,7531397,4105198,3100210,2100028,1100005
101750133,4211728,3018518,4100981,3100191,2100025,1100005
101750133,4177419,25733933,4100981,3100191,2100025,1100005
110959416,4299413,23623657,4105647,3100952,2100184,1100030
121449370,6055038,22954725,4101043,3100200,2100025,1100005
121449370,5913460,14857952,4101043,3100200,2100025,1100005
121449370,6035421,23515727,4101043,3100200,2100025,1100005
121449370,5413779,1627445,4101043,3100200,2100025,1100005
123125088,5909455,6586569,4105447,3100934,2100181,1100005
